epoch,train_loss
1,0.001759893047809601
2,0.0007280420631170273
3,0.00033894546627998354
4,0.0002660877153277397
5,0.00023251485228538513
6,0.00020989424288272857
7,0.0001987038403749466
8,0.0001955458864569664
9,0.00018687353879213333
10,0.00017718981504440308
11,0.0001787458837032318
12,0.00017314353734254837
13,0.000179023414850235
14,0.00017012452781200408
